"StateFIPS","State","Year","Value","Data Comment",,"SubCategory"
"01","Alabama","2017","1.72","",,"Carbamates/Organophosphates Exposures"
"01","Alabama","2017","0.06","Unstable",,"Organochlorines Exposures"
"01","Alabama","2017","12.04","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"01","Alabama","2017","1.83","",,"Boric Acid Exposures"
"01","Alabama","2017","4.60","",,"Other (baits & gels)/Unknown Exposures"
"02","Alaska","2017","0.68","Unstable",,"Carbamates/Organophosphates Exposures"
"02","Alaska","2017","0.00","Unstable",,"Organochlorines Exposures"
"02","Alaska","2017","5.54","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"02","Alaska","2017","0.41","Unstable",,"Boric Acid Exposures"
"02","Alaska","2017","1.76","",,"Other (baits & gels)/Unknown Exposures"
"04","Arizona","2017","1.31","",,"Carbamates/Organophosphates Exposures"
"04","Arizona","2017","0.07","Unstable",,"Organochlorines Exposures"
"04","Arizona","2017","9.53","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"04","Arizona","2017","0.78","",,"Boric Acid Exposures"
"04","Arizona","2017","3.38","",,"Other (baits & gels)/Unknown Exposures"
"05","Arkansas","2017","1.96","",,"Carbamates/Organophosphates Exposures"
"05","Arkansas","2017","0.03","Unstable",,"Organochlorines Exposures"
"05","Arkansas","2017","14.78","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"05","Arkansas","2017","2.73","",,"Boric Acid Exposures"
"05","Arkansas","2017","5.79","",,"Other (baits & gels)/Unknown Exposures"
"06","California","2017","0.89","",,"Carbamates/Organophosphates Exposures"
"06","California","2017","0.08","",,"Organochlorines Exposures"
"06","California","2017","7.32","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"06","California","2017","1.57","",,"Boric Acid Exposures"
"06","California","2017","4.27","",,"Other (baits & gels)/Unknown Exposures"
"08","Colorado","2017","0.71","",,"Carbamates/Organophosphates Exposures"
"08","Colorado","2017","0.05","Unstable",,"Organochlorines Exposures"
"08","Colorado","2017","5.53","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"08","Colorado","2017","0.39","",,"Boric Acid Exposures"
"08","Colorado","2017","2.32","",,"Other (baits & gels)/Unknown Exposures"
"09","Connecticut","2017","0.84","",,"Carbamates/Organophosphates Exposures"
"09","Connecticut","2017","0.20","Unstable",,"Organochlorines Exposures"
"09","Connecticut","2017","5.71","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"09","Connecticut","2017","1.34","",,"Boric Acid Exposures"
"09","Connecticut","2017","4.82","",,"Other (baits & gels)/Unknown Exposures"
"10","Delaware","2017","1.14","Unstable",,"Carbamates/Organophosphates Exposures"
"10","Delaware","2017","0.10","Unstable",,"Organochlorines Exposures"
"10","Delaware","2017","8.73","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"10","Delaware","2017","2.91","",,"Boric Acid Exposures"
"10","Delaware","2017","5.61","",,"Other (baits & gels)/Unknown Exposures"
"11","District of Columbia","2017","0.43","Unstable",,"Carbamates/Organophosphates Exposures"
"11","District of Columbia","2017","0.14","Unstable",,"Organochlorines Exposures"
"11","District of Columbia","2017","7.49","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"11","District of Columbia","2017","1.59","Unstable",,"Boric Acid Exposures"
"11","District of Columbia","2017","5.48","",,"Other (baits & gels)/Unknown Exposures"
"12","Florida","2017","1.24","",,"Carbamates/Organophosphates Exposures"
"12","Florida","2017","0.11","",,"Organochlorines Exposures"
"12","Florida","2017","7.92","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"12","Florida","2017","2.43","",,"Boric Acid Exposures"
"12","Florida","2017","4.25","",,"Other (baits & gels)/Unknown Exposures"
"13","Georgia","2017","1.48","",,"Carbamates/Organophosphates Exposures"
"13","Georgia","2017","0.10","Unstable",,"Organochlorines Exposures"
"13","Georgia","2017","10.64","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"13","Georgia","2017","1.63","",,"Boric Acid Exposures"
"13","Georgia","2017","4.47","",,"Other (baits & gels)/Unknown Exposures"
"15","Hawaii","2017","1.40","",,"Carbamates/Organophosphates Exposures"
"15","Hawaii","2017","0.28","Unstable",,"Organochlorines Exposures"
"15","Hawaii","2017","4.97","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"15","Hawaii","2017","2.59","",,"Boric Acid Exposures"
"15","Hawaii","2017","5.25","",,"Other (baits & gels)/Unknown Exposures"
"16","Idaho","2017","1.22","",,"Carbamates/Organophosphates Exposures"
"16","Idaho","2017","0.12","Unstable",,"Organochlorines Exposures"
"16","Idaho","2017","10.83","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"16","Idaho","2017","1.81","",,"Boric Acid Exposures"
"16","Idaho","2017","3.20","",,"Other (baits & gels)/Unknown Exposures"
"17","Illinois","2017","0.85","",,"Carbamates/Organophosphates Exposures"
"17","Illinois","2017","0.06","Unstable",,"Organochlorines Exposures"
"17","Illinois","2017","5.41","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"17","Illinois","2017","2.41","",,"Boric Acid Exposures"
"17","Illinois","2017","2.53","",,"Other (baits & gels)/Unknown Exposures"
"18","Indiana","2017","1.41","",,"Carbamates/Organophosphates Exposures"
"18","Indiana","2017","0.09","Unstable",,"Organochlorines Exposures"
"18","Indiana","2017","9.07","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"18","Indiana","2017","2.80","",,"Boric Acid Exposures"
"18","Indiana","2017","4.48","",,"Other (baits & gels)/Unknown Exposures"
"19","Iowa","2017","1.91","",,"Carbamates/Organophosphates Exposures"
"19","Iowa","2017","0.16","Unstable",,"Organochlorines Exposures"
"19","Iowa","2017","10.11","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"19","Iowa","2017","3.66","",,"Boric Acid Exposures"
"19","Iowa","2017","3.50","",,"Other (baits & gels)/Unknown Exposures"
"20","Kansas","2017","1.75","",,"Carbamates/Organophosphates Exposures"
"20","Kansas","2017","0.41","",,"Organochlorines Exposures"
"20","Kansas","2017","9.06","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"20","Kansas","2017","2.47","",,"Boric Acid Exposures"
"20","Kansas","2017","4.63","",,"Other (baits & gels)/Unknown Exposures"
"21","Kentucky","2017","1.37","",,"Carbamates/Organophosphates Exposures"
"21","Kentucky","2017","0.04","Unstable",,"Organochlorines Exposures"
"21","Kentucky","2017","12.15","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"21","Kentucky","2017","3.50","",,"Boric Acid Exposures"
"21","Kentucky","2017","5.55","",,"Other (baits & gels)/Unknown Exposures"
"22","Louisiana","2017","1.69","",,"Carbamates/Organophosphates Exposures"
"22","Louisiana","2017","0.19","Unstable",,"Organochlorines Exposures"
"22","Louisiana","2017","7.54","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"22","Louisiana","2017","1.52","",,"Boric Acid Exposures"
"22","Louisiana","2017","3.35","",,"Other (baits & gels)/Unknown Exposures"
"23","Maine","2017","0.90","",,"Carbamates/Organophosphates Exposures"
"23","Maine","2017","0.15","Unstable",,"Organochlorines Exposures"
"23","Maine","2017","9.06","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"23","Maine","2017","2.32","",,"Boric Acid Exposures"
"23","Maine","2017","6.96","",,"Other (baits & gels)/Unknown Exposures"
"24","Maryland","2017","0.94","",,"Carbamates/Organophosphates Exposures"
"24","Maryland","2017","0.08","Unstable",,"Organochlorines Exposures"
"24","Maryland","2017","7.62","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"24","Maryland","2017","3.37","",,"Boric Acid Exposures"
"24","Maryland","2017","3.97","",,"Other (baits & gels)/Unknown Exposures"
"25","Massachusetts","2017","1.05","",,"Carbamates/Organophosphates Exposures"
"25","Massachusetts","2017","0.03","Unstable",,"Organochlorines Exposures"
"25","Massachusetts","2017","4.49","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"25","Massachusetts","2017","1.44","",,"Boric Acid Exposures"
"25","Massachusetts","2017","2.74","",,"Other (baits & gels)/Unknown Exposures"
"26","Michigan","2017","1.38","",,"Carbamates/Organophosphates Exposures"
"26","Michigan","2017","0.15","",,"Organochlorines Exposures"
"26","Michigan","2017","6.74","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"26","Michigan","2017","2.06","",,"Boric Acid Exposures"
"26","Michigan","2017","3.26","",,"Other (baits & gels)/Unknown Exposures"
"27","Minnesota","2017","0.88","",,"Carbamates/Organophosphates Exposures"
"27","Minnesota","2017","0.05","Unstable",,"Organochlorines Exposures"
"27","Minnesota","2017","6.20","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"27","Minnesota","2017","3.32","",,"Boric Acid Exposures"
"27","Minnesota","2017","3.75","",,"Other (baits & gels)/Unknown Exposures"
"28","Mississippi","2017","1.71","",,"Carbamates/Organophosphates Exposures"
"28","Mississippi","2017","0.23","Unstable",,"Organochlorines Exposures"
"28","Mississippi","2017","10.46","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"28","Mississippi","2017","1.11","",,"Boric Acid Exposures"
"28","Mississippi","2017","3.52","",,"Other (baits & gels)/Unknown Exposures"
"29","Missouri","2017","1.88","",,"Carbamates/Organophosphates Exposures"
"29","Missouri","2017","0.10","Unstable",,"Organochlorines Exposures"
"29","Missouri","2017","11.43","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"29","Missouri","2017","3.89","",,"Boric Acid Exposures"
"29","Missouri","2017","5.37","",,"Other (baits & gels)/Unknown Exposures"
"30","Montana","2017","0.57","Unstable",,"Carbamates/Organophosphates Exposures"
"30","Montana","2017","0.00","Unstable",,"Organochlorines Exposures"
"30","Montana","2017","7.81","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"30","Montana","2017","0.38","Unstable",,"Boric Acid Exposures"
"30","Montana","2017","2.09","",,"Other (baits & gels)/Unknown Exposures"
"31","Nebraska","2017","2.08","",,"Carbamates/Organophosphates Exposures"
"31","Nebraska","2017","0.00","Unstable",,"Organochlorines Exposures"
"31","Nebraska","2017","8.65","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"31","Nebraska","2017","2.66","",,"Boric Acid Exposures"
"31","Nebraska","2017","3.70","",,"Other (baits & gels)/Unknown Exposures"
"32","Nevada","2017","0.63","",,"Carbamates/Organophosphates Exposures"
"32","Nevada","2017","0.00","Unstable",,"Organochlorines Exposures"
"32","Nevada","2017","5.04","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"32","Nevada","2017","0.80","",,"Boric Acid Exposures"
"32","Nevada","2017","2.27","",,"Other (baits & gels)/Unknown Exposures"
"33","New Hampshire","2017","1.04","",,"Carbamates/Organophosphates Exposures"
"33","New Hampshire","2017","0.15","Unstable",,"Organochlorines Exposures"
"33","New Hampshire","2017","7.67","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"33","New Hampshire","2017","2.90","",,"Boric Acid Exposures"
"33","New Hampshire","2017","5.51","",,"Other (baits & gels)/Unknown Exposures"
"34","New Jersey","2017","0.59","",,"Carbamates/Organophosphates Exposures"
"34","New Jersey","2017","0.03","Unstable",,"Organochlorines Exposures"
"34","New Jersey","2017","4.55","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"34","New Jersey","2017","1.32","",,"Boric Acid Exposures"
"34","New Jersey","2017","3.50","",,"Other (baits & gels)/Unknown Exposures"
"35","New Mexico","2017","1.68","",,"Carbamates/Organophosphates Exposures"
"35","New Mexico","2017","0.05","Unstable",,"Organochlorines Exposures"
"35","New Mexico","2017","14.80","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"35","New Mexico","2017","0.72","",,"Boric Acid Exposures"
"35","New Mexico","2017","6.47","",,"Other (baits & gels)/Unknown Exposures"
"36","New York","2017","0.88","",,"Carbamates/Organophosphates Exposures"
"36","New York","2017","0.08","",,"Organochlorines Exposures"
"36","New York","2017","5.37","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"36","New York","2017","1.47","",,"Boric Acid Exposures"
"36","New York","2017","3.60","",,"Other (baits & gels)/Unknown Exposures"
"37","North Carolina","2017","1.62","",,"Carbamates/Organophosphates Exposures"
"37","North Carolina","2017","0.12","",,"Organochlorines Exposures"
"37","North Carolina","2017","9.37","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"37","North Carolina","2017","2.14","",,"Boric Acid Exposures"
"37","North Carolina","2017","4.51","",,"Other (baits & gels)/Unknown Exposures"
"38","North Dakota","2017","1.59","",,"Carbamates/Organophosphates Exposures"
"38","North Dakota","2017","0.00","Unstable",,"Organochlorines Exposures"
"38","North Dakota","2017","5.56","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"38","North Dakota","2017","0.93","Unstable",,"Boric Acid Exposures"
"38","North Dakota","2017","2.91","",,"Other (baits & gels)/Unknown Exposures"
"39","Ohio","2017","1.08","",,"Carbamates/Organophosphates Exposures"
"39","Ohio","2017","0.12","",,"Organochlorines Exposures"
"39","Ohio","2017","8.37","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"39","Ohio","2017","2.05","",,"Boric Acid Exposures"
"39","Ohio","2017","4.31","",,"Other (baits & gels)/Unknown Exposures"
"40","Oklahoma","2017","2.04","",,"Carbamates/Organophosphates Exposures"
"40","Oklahoma","2017","0.13","Unstable",,"Organochlorines Exposures"
"40","Oklahoma","2017","14.14","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"40","Oklahoma","2017","2.49","",,"Boric Acid Exposures"
"40","Oklahoma","2017","8.42","",,"Other (baits & gels)/Unknown Exposures"
"41","Oregon","2017","1.18","",,"Carbamates/Organophosphates Exposures"
"41","Oregon","2017","0.02","Unstable",,"Organochlorines Exposures"
"41","Oregon","2017","7.77","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"41","Oregon","2017","7.77","",,"Boric Acid Exposures"
"41","Oregon","2017","7.41","",,"Other (baits & gels)/Unknown Exposures"
"42","Pennsylvania","2017","0.91","",,"Carbamates/Organophosphates Exposures"
"42","Pennsylvania","2017","0.09","Unstable",,"Organochlorines Exposures"
"42","Pennsylvania","2017","7.15","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"42","Pennsylvania","2017","2.48","",,"Boric Acid Exposures"
"42","Pennsylvania","2017","4.00","",,"Other (baits & gels)/Unknown Exposures"
"44","Rhode Island","2017","1.32","",,"Carbamates/Organophosphates Exposures"
"44","Rhode Island","2017","0.00","Unstable",,"Organochlorines Exposures"
"44","Rhode Island","2017","6.13","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"44","Rhode Island","2017","0.94","Unstable",,"Boric Acid Exposures"
"44","Rhode Island","2017","2.26","",,"Other (baits & gels)/Unknown Exposures"
"45","South Carolina","2017","1.47","",,"Carbamates/Organophosphates Exposures"
"45","South Carolina","2017","0.04","Unstable",,"Organochlorines Exposures"
"45","South Carolina","2017","9.25","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"45","South Carolina","2017","1.37","",,"Boric Acid Exposures"
"45","South Carolina","2017","4.36","",,"Other (baits & gels)/Unknown Exposures"
"46","South Dakota","2017","1.95","",,"Carbamates/Organophosphates Exposures"
"46","South Dakota","2017","0.34","Unstable",,"Organochlorines Exposures"
"46","South Dakota","2017","11.27","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"46","South Dakota","2017","2.64","",,"Boric Acid Exposures"
"46","South Dakota","2017","3.10","",,"Other (baits & gels)/Unknown Exposures"
"47","Tennessee","2017","2.11","",,"Carbamates/Organophosphates Exposures"
"47","Tennessee","2017","0.31","",,"Organochlorines Exposures"
"47","Tennessee","2017","9.95","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"47","Tennessee","2017","2.16","",,"Boric Acid Exposures"
"47","Tennessee","2017","4.38","",,"Other (baits & gels)/Unknown Exposures"
"48","Texas","2017","1.72","",,"Carbamates/Organophosphates Exposures"
"48","Texas","2017","0.10","",,"Organochlorines Exposures"
"48","Texas","2017","9.57","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"48","Texas","2017","1.21","",,"Boric Acid Exposures"
"48","Texas","2017","4.36","",,"Other (baits & gels)/Unknown Exposures"
"49","Utah","2017","2.16","",,"Carbamates/Organophosphates Exposures"
"49","Utah","2017","0.10","Unstable",,"Organochlorines Exposures"
"49","Utah","2017","10.99","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"49","Utah","2017","1.77","",,"Boric Acid Exposures"
"49","Utah","2017","5.42","",,"Other (baits & gels)/Unknown Exposures"
"50","Vermont","2017","0.80","Unstable",,"Carbamates/Organophosphates Exposures"
"50","Vermont","2017","0.00","Unstable",,"Organochlorines Exposures"
"50","Vermont","2017","8.34","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"50","Vermont","2017","2.73","",,"Boric Acid Exposures"
"50","Vermont","2017","7.06","",,"Other (baits & gels)/Unknown Exposures"
"51","Virginia","2017","1.58","",,"Carbamates/Organophosphates Exposures"
"51","Virginia","2017","0.14","",,"Organochlorines Exposures"
"51","Virginia","2017","8.60","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"51","Virginia","2017","2.86","",,"Boric Acid Exposures"
"51","Virginia","2017","4.92","",,"Other (baits & gels)/Unknown Exposures"
"53","Washington","2017","0.77","",,"Carbamates/Organophosphates Exposures"
"53","Washington","2017","0.05","Unstable",,"Organochlorines Exposures"
"53","Washington","2017","5.74","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"53","Washington","2017","2.47","",,"Boric Acid Exposures"
"53","Washington","2017","5.19","",,"Other (baits & gels)/Unknown Exposures"
"54","West Virginia","2017","1.43","",,"Carbamates/Organophosphates Exposures"
"54","West Virginia","2017","0.11","Unstable",,"Organochlorines Exposures"
"54","West Virginia","2017","11.56","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"54","West Virginia","2017","3.08","",,"Boric Acid Exposures"
"54","West Virginia","2017","6.44","",,"Other (baits & gels)/Unknown Exposures"
"55","Wisconsin","2017","1.07","",,"Carbamates/Organophosphates Exposures"
"55","Wisconsin","2017","0.03","Unstable",,"Organochlorines Exposures"
"55","Wisconsin","2017","6.32","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"55","Wisconsin","2017","2.24","",,"Boric Acid Exposures"
"55","Wisconsin","2017","4.02","",,"Other (baits & gels)/Unknown Exposures"
"56","Wyoming","2017","0.69","Unstable",,"Carbamates/Organophosphates Exposures"
"56","Wyoming","2017","0.17","Unstable",,"Organochlorines Exposures"
"56","Wyoming","2017","5.52","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"56","Wyoming","2017","1.38","Unstable",,"Boric Acid Exposures"
"56","Wyoming","2017","2.93","",,"Other (baits & gels)/Unknown Exposures"
